"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:branches","thrpt",4,1,70361.643570,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:cycles","thrpt",4,1,142347.040115,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:instructions","thrpt",4,1,372190.418454,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf","thrpt",4,5,4405.808166,21.047375,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:CPI","thrpt",4,1,1.189555,NaN,"clks/insn",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:IPC","thrpt",4,1,0.840650,NaN,"insns/clk",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:branch-misses","thrpt",4,1,23.304131,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:branches","thrpt",4,1,71032.572195,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:cycles","thrpt",4,1,709457.434036,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:instructions","thrpt",4,1,596405.573992,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf","thrpt",4,5,715.798880,2.965129,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:CPI","thrpt",4,1,0.970924,NaN,"clks/insn",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:IPC","thrpt",4,1,1.029947,NaN,"insns/clk",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:branch-misses","thrpt",4,1,23530.864549,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:branches","thrpt",4,1,686024.678958,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:cycles","thrpt",4,1,4398751.737410,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:instructions","thrpt",4,1,4530480.263906,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp","thrpt",4,5,3270.356897,9.934379,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:CPI","thrpt",4,1,1.171174,NaN,"clks/insn",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:IPC","thrpt",4,1,0.853844,NaN,"insns/clk",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:branch-misses","thrpt",4,1,1345.293667,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:branches","thrpt",4,1,106927.580915,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:cycles","thrpt",4,1,958208.005159,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:instructions","thrpt",4,1,818160.503484,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp","thrpt",4,5,22220.158912,796.732832,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:CPI","thrpt",4,1,0.413734,NaN,"clks/insn",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:IPC","thrpt",4,1,2.417013,NaN,"insns/clk",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:branch-misses","thrpt",4,1,13.173050,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:branches","thrpt",4,1,60241.289942,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:cycles","thrpt",4,1,141312.392437,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:instructions","thrpt",4,1,341553.949458,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp","thrpt",4,5,4316.553377,56.511639,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:CPI","thrpt",4,1,1.213335,NaN,"clks/insn",COMPLEX_BLOCK
